ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2000/8/1,34.9,8,2000/8/1 15:00,8,1,26.8,8,2000/8/1 05:00,8,1
2000/8/2,33.3,8,2000/8/2 11:00,8,1,26.7,8,2000/8/3 0:00,8,1
2000/8/3,33.8,8,2000/8/3 14:00,8,1,25.5,8,2000/8/3 05:00,8,1
2000/8/4,32.7,8,2000/8/4 16:00,8,1,26,8,2000/8/5 0:00,8,1
2000/8/5,34.5,8,2000/8/5 14:00,8,1,23.4,8,2000/8/5 22:00,8,1
2000/8/6,34.7,8,2000/8/6 14:00,8,1,23,8,2000/8/6 05:00,8,1
2000/8/7,33.2,8,2000/8/7 14:00,8,1,23.4,8,2000/8/7 19:00,8,1
2000/8/8,33.6,8,2000/8/8 14:00,8,1,22.7,8,2000/8/8 05:00,8,1
2000/8/9,31.3,8,2000/8/9 16:00,8,1,23,8,2000/8/9 22:00,8,1
2000/8/10,34.2,8,2000/8/10 15:00,8,1,23,8,2000/8/10 01:00,8,1
2000/8/11,35.1,8,2000/8/11 13:00,8,1,24.7,8,2000/8/11 05:00,8,1
2000/8/12,34.8,8,2000/8/12 12:00,8,1,25,8,2000/8/13 0:00,8,1
2000/8/13,26.2,8,2000/8/13 15:00,8,1,22.4,8,2000/8/13 08:00,8,1
2000/8/14,32.7,8,2000/8/14 15:00,8,1,22.7,8,2000/8/14 05:00,8,1
2000/8/15,30,8,2000/8/15 13:00,8,1,23.5,8,2000/8/15 22:00,8,1
2000/8/16,32,8,2000/8/16 14:00,8,1,23.6,8,2000/8/16 04:00,8,1
2000/8/17,30.5,8,2000/8/17 14:00,8,1,24,8,2000/8/17 05:00,8,1
2000/8/18,27.5,8,2000/8/18 14:00,8,1,23.7,8,2000/8/18 07:00,8,1
2000/8/19,30.8,8,2000/8/19 15:00,8,1,23.3,8,2000/8/19 04:00,8,1
2000/8/20,30.9,8,2000/8/20 15:00,8,1,23.4,8,2000/8/20 05:00,8,1
2000/8/21,32.5,8,2000/8/21 15:00,8,1,25,8,2000/8/21 04:00,8,1
2000/8/22,33.2,8,2000/8/22 14:00,8,1,26.2,8,2000/8/22 04:00,8,1
2000/8/23,33.4,8,2000/8/23 14:00,8,1,26.8,8,2000/8/23 05:00,8,1
2000/8/24,33.5,8,2000/8/24 14:00,8,1,27,8,2000/8/24 06:00,8,1
2000/8/25,34.3,8,2000/8/25 14:00,8,1,26.1,8,2000/8/25 05:00,8,1
2001/8/1,37.5,8,2001/8/1 14:00,8,1,25.9,8,2001/8/2 0:00,8,1
2001/8/2,29.6,8,2001/8/2 14:00,8,1,23.8,8,2001/8/3 0:00,8,1
2001/8/3,32.4,8,2001/8/3 15:00,8,1,23.4,8,2001/8/3 05:00,8,1
2001/8/4,33.6,8,2001/8/4 17:00,8,1,25.2,8,2001/8/5 0:00,8,1
2001/8/5,27.8,8,2001/8/5 15:00,8,1,23.2,8,2001/8/5 07:00,8,1
2001/8/6,26.5,8,2001/8/6 16:00,8,1,22.5,8,2001/8/6 06:00,8,1
2001/8/7,24.1,8,2001/8/7 12:00,8,1,22.6,8,2001/8/7 08:00,8,1
2001/8/8,27,8,2001/8/8 14:00,8,1,22.3,8,2001/8/8 06:00,8,1
2001/8/9,30.5,8,2001/8/9 16:00,8,1,22.6,8,2001/8/9 05:00,8,1
2001/8/10,33.2,8,2001/8/10 15:00,8,1,26,8,2001/8/10 05:00,8,1
2001/8/11,30.2,8,2001/8/11 14:00,8,1,23.2,8,2001/8/12 0:00,8,1
2001/8/12,23.6,8,2001/8/12 15:00,8,1,21.5,8,2001/8/13 0:00,8,1
